[2013-10-29 22:24:36] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: -2
[2013-10-29 22:24:36] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:26:42] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:26:42] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:39:18] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 7
[2013-10-29 22:40:33] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 2
[2013-10-29 22:40:34] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:40:34] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:40:34] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:56:19] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: -1
[2013-10-29 22:56:19] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:56:19] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:56:19] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:58:13] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 2
[2013-10-29 22:58:22] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:58:22] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:58:22] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:58:33] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:58:43] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: -2
[2013-10-29 22:58:43] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:58:44] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:58:44] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:59:32] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:59:33] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 23:00:01] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: -4
[2013-10-29 23:00:01] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 23:00:12] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 2
[2013-10-29 23:00:13] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 23:00:17] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 23:00:17] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 23:18:37] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 1
[2013-10-29 23:18:46] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: -1
[2013-10-29 23:18:46] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 23:20:37] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: -2
